state,district,incumbent,party,category,notes
CA,49,Mike Levin,D,Safe Democrat,
CA,50,Scott Peters,D,Safe Democrat,
CA,51,Sara Jacobs,D,Safe Democrat,
CA,52,Juan Vargas,D,Safe Democrat,
FL,1,Jimmy Patronis,R,Safe Republican,
FL,2,Dunn,R,Safe Republican,
FL,3,Kat Cammack,R,Safe Republican,
FL,4,Aaron Bean,R,Safe Republican,
FL,5,John Rutherford,R,Safe Republican,
FL,6,Randy Fine,R,Safe Republican,
FL,7,Cory Mills,R,Tilt Republican,
FL,8,Mike Haridopolos,R,Safe Republican,
FL,10,Maxwell Frost,D,Safe Democrat,
FL,11,Webster,R,Safe Republican,
FL,12,Gus Bilirakis,R,Safe Republican,
FL,13,Anna Paulina Luna,R,Safe Republican,
FL,15,Laurel Lee,R,Safe Republican,
FL,16,Buchanan,R,Tilt Republican,
FL,17,Greg Steube,R,Safe Republican,
FL,18,Scott Franklin,R,Safe Republican,
FL,19,Donalds,R,Safe Republican,
FL,20,Sheila Cherfilus-McCormick,D,Safe Democrat,
FL,21,Brian Mast,R,Safe Republican,
FL,22,Frankel,D,Lean/Tilt Democrat,
FL,23,Jared Moskowitz,D,Safe Democrat,
FL,24,Wilson,D,Safe Democrat,
FL,26,Mario Diaz-Balart,R,Safe Republican,
FL,27,Maria Elvira Salazar,R,Safe Republican,
PA,1,Brian Fitzpatrick,R,Tossup,
PA,2,Brendan Boyle,D,Safe Democrat,
PA,3,Evans,D,Safe Democrat,
PA,4,Madeleine Dean,D,Safe Democrat,
PA,5,Mary Gay Scanlon,D,Safe Democrat,
PA,6,Chrissy Houlahan,D,Safe Democrat,
PA,7,Ryan Mackenzie,R,Tossup,
PA,8,Rob Bresnahan,R,Tossup,
PA,9,Dan Meuser,R,Safe Republican,
PA,10,Scott Perry,R,Tossup,
PA,11,Lloyd Smucker,R,Safe Republican,
PA,12,Summer Lee,D,Safe Democrat,
PA,13,John Joyce,R,Safe Republican,
PA,14,Glenn Thompson,R,Safe Republican,
PA,15,Chris Deluzio,D,Safe Democrat,
PA,16,Mike Kelly,R,Safe Republican,
OH,1,Greg Landsman,D,Lean/Tilt Democrat,
OH,2,David Taylor,R,Safe Republican,
OH,3,Joyce Beatty,D,Safe Democrat,
OH,4,Jim Jordan,R,Safe Republican,
OH,5,Bob Latta,R,Safe Republican,
OH,6,Michael Rulli,R,Safe Republican,
OH,7,Max Miller,R,Tossup,
OH,8,Warren Davidson,R,Safe Republican,
OH,9,Marcy Kaptur,D,Lean/Tilt Democrat,
OH,10,Mike Turner,R,Safe Republican,
OH,11,Shontel Brown,D,Safe Democrat,
OH,12,Troy Balderson,R,Safe Republican,
OH,13,Emilia Sykes,D,Safe Democrat,
OH,14,David Joyce,R,Safe Republican,
AZ,1,Schweikert,R,Tossup,
AZ,2,Eli Crane,R,Safe Republican,
AZ,3,Yassamin Ansari,D,Safe Democrat,
AZ,4,Greg Stanton,D,Safe Democrat,
AZ,5,Biggs,R,Safe Republican,
AZ,6,Juan Ciscomani,R,Tossup,
AZ,7,Raul Grijalva,D,Safe Democrat,
AZ,8,Abraham Hamadeh,R,Safe Republican,
AZ,9,Paul Gosar,R,Safe Republican,
MI,1,Jack Bergman,R,Safe Republican,
MI,2,John Moolenaar,R,Safe Republican,
MI,3,Hillary Scholten,D,Safe Democrat,
MI,4,Bill Huizenga,R,Tossup,
MI,5,Tim Walberg,R,Safe Republican,
MI,6,Debbie Dingell,D,Safe Democrat,
MI,7,Tom Barrett,R,Tossup,
MI,8,Kristen Rivet,D,Safe Democrat,
MI,9,Lisa McClain,R,Safe Republican,
MI,10,James,R,Tossup,
NC,1,Don Davis,D,Tossup,
NC,2,Deborah Ross,D,Safe Democrat,
NC,3,Greg Murphy,R,Safe Republican,
NC,4,Valerie Foushee,D,Safe Democrat,
NC,5,Virginia Foxx,R,Safe Republican,
NC,6,Addison McDowell,R,Safe Republican,
NC,7,David Rouzer,R,Safe Republican,
NC,8,Mark Harris,R,Safe Republican,
NC,9,Richard Hudson,R,Safe Republican,
NC,10,Pat Harrigan,R,Safe Republican,
NC,11,Chuck Edwards,R,Tossup,
NC,12,Alma Adams,D,Safe Democrat,
NC,13,Tim Moore,R,Safe Republican,
NV,1,Dina Titus,D,Safe Democrat,
NV,2,Amodei,R,Safe Republican,
NV,3,Susie Lee,D,Safe Democrat,
NV,4,Steven Horsford,D,Safe Democrat,
GA,1,Carter,R,Safe Republican,
GA,2,Sanford Bishop,D,Safe Democrat,
GA,3,Brian Jack,R,Safe Republican,
GA,4,Hank Johnson,D,Safe Democrat,
GA,5,Nikema Williams,D,Safe Democrat,
GA,6,Lucy McBath,D,Safe Democrat,
GA,7,Rich McCormick,R,Safe Republican,
GA,8,Austin Scott,R,Safe Republican,
GA,9,Andrew Clyde,R,Safe Republican,
GA,10,Collins,R,Safe Republican,
GA,11,Loudermilk,R,Safe Republican,
GA,12,Rick Allen,R,Safe Republican,
GA,13,Scott,D,Safe Democrat,
GA,14,Greene,R,Safe Republican,
IL,1,Jonathan Jackson,D,Safe Democrat,
IL,2,Kelly,D,Safe Democrat,
IL,3,Delia Ramirez,D,Safe Democrat,
IL,4,García,D,Safe Democrat,
IL,5,Mike Quigley,D,Safe Democrat,
IL,6,Sean Casten,D,Safe Democrat,
IL,7,Davis,D,Safe Democrat,
IL,8,Raj Krishn.,D,Safe Democrat,
IL,9,Schakowsky,D,Safe Democrat,
IL,10,Brad Schneider,D,Safe Democrat,
IL,11,Bill Foster,D,Safe Democrat,
IL,12,Mike Bost,R,Safe Republican,
IL,13,Nikki Budzinski,D,Safe Democrat,
IL,14,Lauren Underwood,D,Safe Democrat,
IL,15,Mary Miller,R,Safe Republican,
IL,16,Darin LaHood,R,Safe Republican,
IL,17,Eric Sorensen,D,Safe Democrat,
WA,1,Suzan DelBene,D,Safe Democrat,
WA,2,Rick Larsen,D,Safe Democrat,
WA,3,Marie Perez,D,Tossup,
WA,4,Newhouse,R,Safe Republican,
WA,5,Michael Baumgartner,R,Safe Republican,
WA,6,Emily Randall,D,Safe Democrat,
WA,7,Pramila Jayapal,D,Safe Democrat,
WA,8,Kim Schrier,D,Safe Democrat,
WA,9,Adam Smith,D,Safe Democrat,
WA,10,Marilyn Strickland,D,Safe Democrat,
WI,1,Bryan Steil,R,Safe Republican,
WI,2,Mark Pocan,D,Safe Democrat,
WI,3,Derrick Van Orden,R,Tossup,
WI,4,Gwenn Moore,D,Safe Democrat,
WI,5,Scott Fitzgerald,R,Safe Republican,
WI,6,Glenn Grothman,R,Safe Republican,
WI,7,Tiffany,R,Safe Republican,
WI,8,Tony Wied,R,Safe Republican,
MN,1,Brad Finstad,R,Safe Republican,
MN,2,Craig,D,Safe Democrat,
MN,3,Kelly Morrison,D,Safe Democrat,
MN,4,Betty McCollum,D,Safe Democrat,
MN,5,Ilhan Omar,D,Safe Democrat,
MN,6,Tom Emmer,R,Safe Republican,
